date,SPY,XLF,MSFT,AAPL
20051219,-0.005144,-0.008755,-0.002602,0.003797
20051220,0.000955,0.004416,0.001118,0.010227
20051221,0.001589,0.002827,-0.00484,0.019276
20051222,0.005237,0.00689,-0.005238,0.007075
20051223,0.000553,0.001244,0.00188,-0.009052
20051227,-0.010177,-0.007766,-0.006757,0.011997
20051228,0.002232,-0.002192,-0.002645,-0.008891
20051229,-0.004453,-0.000941,-0.004547,-0.028816
20051230,-0.005432,-0.005339,-0.004568,0.006158
20060103,0.017589,0.016735,0.026386,0.039783
20060104,0.004736,-0.000932,0.004843,0.002943
20060105,0.000628,0.003419,0.000742,-0.00787
20060106,0.008322,0.005886,-0.002964,0.025813
20060109,0.002569,0.002772,-0.001858,-0.003277
20060110,0.001009,0.000921,0.005212,0.063248
20060111,0.003181,0.005523,0.010741,0.037596
20060112,-0.003944,-0.007019,-0.005497,0.00466
20060113,-0.000932,-0.000615,0.001842,0.01541
20060117,-0.00272,-0.010455,-0.007356,-0.010279
20060118,-0.003974,-0.002797,-0.005928,-0.026207
20060119,0.003833,-0.003116,0.007082,-0.041885
20060120,-0.018237,-0.020944,-0.022576,-0.037275
20060123,0.003572,0.002554,-0.002272,0.020778
20060124,0.001028,0.004459,-0.002657,-0.020986
20060125,0.000869,0.001902,0.004566,-0.024198
20060126,0.005527,0.017089,0.003788,-0.025202
20060127,0.009265,0.000933,0.048679,-0.004148
20060130,-0.000778,-0.003108,0.007557,0.041233
20060131,-0.007319,-0.003742,0.005357,0.0068
20060201,0.00698,-0.000626,-0.003908,-0.001192
20060202,-0.011605,-0.00689,-0.012839,-0.04402
20060203,-0.004965,-0.0041,-0.005058,-0.003509
20060206,0.002613,0.00285,-0.013435,-0.063287
20060207,-0.008847,-0.006631,-0.008465,0.004458
20060208,0.009085,0.006357,-0.001114,0.017899
20060209,-0.001658,0.002527,-0.00929,-0.056097
20060210,0.001819,0.005671,0.001125,0.036336
20060213,-0.001816,-0.003759,-0.01124,-0.038627
20060214,0.0106,0.01195,0.009852,0.045356
20060215,0.003522,0.005904,0.012007,0.023283
20060216,0.007488,0.00587,-0.002604,0.019503
